aridity_index_UNEP,x,y
-9999.0,-138.95834445,-6.87500055
-9999.0,-158.95834605,26.87500215
0.1813967078924179,125.20834335,-20.62500165
-9999.0,-47.70833715,2.70833354999999
-9999.0,105.62500845,-11.45833425
-9999.0,73.95833925,9.79166744999999
-9999.0,64.79167185,18.54166815
-9999.0,78.12500625,-54.37500435
0.10648631304502487,137.29167765,-23.54166855
-9999.0,131.87501055,18.95833485
-9999.0,-106.87500855,79.37500635
-9999.0,48.95833725,-32.70833595
0.10585035383701324,101.45834145,44.37500355
1.8700753450393677,90.62500725,68.95833885
-9999.0,-138.54167775,73.95833925
0.17130200564861298,66.87500535,46.87500375
-9999.0,173.12501385,24.79166865
-9999.0,-89.79167385,57.29167125
-9999.0,51.45833745,72.29167245
-9999.0,38.95833645,-22.29166845
0.7613516449928284,22.29166845,53.54167095
0.4951127767562866,17.29166805,8.54166735
-9999.0,174.79168065,-15.20833455
0.3547744154930115,78.95833965,51.04167075
-9999.0,125.62501005,-7.70833395
0.18705116212368011,134.79167745,-23.12500185
-9999.0,78.12500625,-28.12500225
-9999.0,9.37500075,-48.54167055
-9999.0,151.45834545,32.29166925
0.46469616889953613,43.95833685,36.45833625
-9999.0,154.37501235,-6.45833385
-9999.0,10.20833415,75.20833935
-9999.0,50.62500405,-29.79166905
0.31193962693214417,-106.45834185,43.54167015
-9999.0,59.37500475,-19.79166825
-9999.0,-79.79167305,-46.45833705
0.15904873609542847,53.54167095,27.29166885
-9999.0,123.54167655,36.87500295
-9999.0,171.87501375,81.04167315
-9999.0,-105.62500845,-9.79166745000001
0.5822334289550781,97.70834115,35.62500285
1.1249669790267944,15.20833455,59.37500475
-9999.0,72.70833915,-48.54167055
-9999.0,-150.62501205,37.29166965
-9999.0,147.29167845,76.04167275
1.0941425561904907,93.95834085,71.45833905
-9999.0,58.12500465,-12.29166765
0.02796589583158493,33.95833605,29.37500235
-9999.0,-126.87501015,31.04166915
2.4488131999969482,18.12500145,68.12500545
-9999.0,168.12501345,-26.87500215
-9999.0,-124.79167665,-50.20833735
-9999.0,24.79166865,77.29167285
0.4920089542865753,31.04166915,-18.54166815
-9999.0,122.29167645,21.45833505
-9999.0,-39.79166985,-48.95833725
0.24614615738391876,71.04167235,48.54167055
