ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,x,y
-9999.0,-36.87500295,27.70833555
21.0,38.95833645,13.54166775
-9999.0,-172.29168045,80.20833975
13.0,-65.62500525,9.79166744999999
-9999.0,-111.04167555,-34.37500275
-9999.0,161.87501295,48.54167055
-9999.0,-81.45833985,-19.79166825
-9999.0,-108.12500865,-52.70833755
5.0,93.95834085,75.20833935
4.0,8.95833404999999,27.70833555
-9999.0,141.04167795,43.54167015
-9999.0,-170.62501365,22.29166845
-9999.0,43.95833685,-39.37500315
20.0,-69.37500555,-48.95833725
-9999.0,172.29168045,40.20833655
-9999.0,-135.62501085,-42.29167005
14.0,112.29167565,26.04166875
6.0,28.12500225,3.95833365
6.0,123.12500985,49.79167065
-9999.0,-124.79167665,-21.04166835
15.0,13.54166775,42.70833675
-9999.0,-177.29168085,-36.45833625
-9999.0,92.70834075,-44.37500355
-9999.0,70.62500565,-41.87500335
13.0,-123.95834325,53.54167095
-9999.0,-8.95833405000002,57.29167125
-9999.0,-167.70834675,-43.95833685
-9999.0,-170.62501365,-10.62500085
-9999.0,-74.37500595,-28.12500225
-9999.0,102.70834155,-46.45833705
-9999.0,-46.45833705,26.87500215
-9999.0,18.54166815,78.12500625
-9999.0,-22.29166845,-21.87500175
-9999.0,-167.29168005,53.95833765
-9999.0,148.95834525,-11.45833425
9.0,129.37501035,-29.79166905
-9999.0,-140.62501125,8.54166735
11.0,136.04167755,-23.95833525
-9999.0,-46.87500375,75.20833935
5.0,85.62500685,66.87500535
-9999.0,120.62500965,-11.45833425
28.0,87.29167365,43.12500345
-9999.0,-172.29168045,-34.37500275
-9999.0,-118.95834285,-11.45833425
-9999.0,61.87500495,-55.20833775
-9999.0,-18.12500145,77.70833955
-9999.0,64.37500515,11.45833425
-9999.0,-123.12500985,11.45833425
-9999.0,131.87501055,24.79166865
11.0,-86.45834025,70.62500565
-9999.0,-173.12501385,3.12500025
14.0,29.79166905,4.37500034999999
-9999.0,123.95834325,-43.54167015
-9999.0,-149.37501195,-38.12500305
-9999.0,-42.70833675,-40.20833655
-9999.0,82.70833995,-24.79166865
-9999.0,-126.87501015,-42.29167005
10.0,48.95833725,-16.87500135
-9999.0,-123.95834325,13.54166775
-9999.0,-111.45834225,18.95833485
-9999.0,125.20834335,-5.20833375000001
-9999.0,-75.20833935,-28.54166895
-9999.0,-160.62501285,8.12500065
-9999.0,173.95834725,-34.37500275
-9999.0,-136.45834425,-0.208333350000004
9.0,98.95834125,66.04167195
-9999.0,-108.95834205,-8.12500065
-9999.0,-98.12500785,-35.20833615
-9999.0,-77.29167285,-55.20833775
-9999.0,-148.54167855,21.45833505
14.0,45.20833695,38.95833645
25.0,-30.20833575,68.12500545
9.0,-141.45834465,67.70833875
-9999.0,-165.62501325,78.12500625
-9999.0,-136.87501095,-54.79167105
-9999.0,154.79167905,21.04166835
-9999.0,-6.87500055000001,65.20833855
-9999.0,-168.54168015,58.95833805
9.0,-84.37500675,69.37500555
-9999.0,-22.29166845,2.29166685
-9999.0,-91.04167395,8.54166735
3.0,17.29166805,29.79166905
2.0,34.37500275,-7.29166725
-9999.0,51.45833745,-29.79166905
-9999.0,152.29167885,34.79166945
-9999.0,-145.62501165,79.37500635
-9999.0,-177.29168085,-33.95833605
6.0,-93.12500745,17.70833475
-9999.0,-123.95834325,8.12500065
-9999.0,-174.79168065,-31.45833585
12.0,17.29166805,66.45833865
-9999.0,73.95833925,-13.95833445
-9999.0,-168.95834685,11.04166755
-9999.0,146.87501175,54.37500435
-9999.0,107.29167525,-9.37500075
-9999.0,-33.12500265,68.95833885
5.0,58.12500465,43.12500345
-9999.0,98.54167455,-25.20833535
20.0,-5.62500045000002,37.70833635
-9999.0,-174.79168065,-6.04166715000001
14.0,-126.45834345,63.54167175
-9999.0,153.95834565,-36.87500295
4.0,35.20833615,54.79167105
-9999.0,59.37500475,-18.95833485
-9999.0,-87.70834035,68.54167215
-9999.0,170.62501365,71.04167235
