LandCover_6_Herbaceous,x,y
0.0,102.3125,72.4375
0.0,-84.4375,36.6875
0.0,33.8125,54.6875
0.0,-132.0625,63.1875
51.0,-109.3125,46.9375
0.0,-101.9375,52.9375
0.0,44.8125,62.0625
0.0,-49.8125,63.8125
0.0,-90.1875,43.4375
0.0,11.8125,56.1875
6.0,-71.4375,55.9375
0.0,80.6875,55.9375
25.0,-124.6875,52.4375
0.0,20.9375,46.0625
3.0,-105.9375,53.5625
29.0,81.8125,47.4375
0.0,-119.3125,55.8125
0.0,103.5625,27.9375
0.0,-72.4375,54.5625
0.0,-129.4375,55.4375
8.0,-77.6875,42.5625
0.0,13.6875,79.1875
0.0,140.6875,37.3125
0.0,28.1875,48.0625
0.0,118.8125,35.0625
0.0,-75.4375,48.8125
0.0,51.4375,30.1875
0.0,130.8125,61.8125
18.0,-98.3125,16.3125
0.0,-113.4375,48.1875
26.0,126.1875,42.8125
14.0,30.3125,-27.5625
0.0,70.1875,57.8125
0.0,22.8125,51.5625
0.0,108.0625,26.5625
27.0,99.6875,73.5625
0.0,70.8125,57.0625
0.0,9.1875,38.9375
0.0,-68.5625,47.0625
0.0,-148.4375,69.3125
0.0,106.0625,54.9375
0.0,52.5625,53.3125
0.0,-56.5625,48.4375
8.0,-156.9375,59.9375
0.0,35.3125,41.9375
15.0,30.8125,57.4375
6.0,-147.9375,68.5625
0.0,99.4375,61.6875
0.0,-53.3125,66.6875
0.0,-6.0625,39.4375
0.0,22.1875,65.9375
0.0,29.3125,36.5625
0.0,147.1875,65.6875
14.0,75.1875,71.1875
12.0,0.5625,52.8125
0.0,120.4375,37.1875
0.0,-102.9375,56.1875
0.0,144.8125,64.0625
37.0,-112.8125,36.0625
14.0,46.0625,34.6875
51.0,71.5625,41.9375
0.0,102.5625,55.6875
0.0,59.0625,64.1875
0.0,-95.9375,53.4375
0.0,-72.5625,50.3125
0.0,104.3125,64.8125
16.0,-94.9375,35.4375
0.0,-94.6875,30.8125
13.0,98.6875,31.3125
0.0,99.8125,78.6875
0.0,-64.3125,-17.8125
37.0,16.5625,78.5625
13.0,-115.6875,58.8125
0.0,-84.6875,35.6875
0.0,-162.3125,66.5625
0.0,105.4375,9.6875
0.0,152.4375,65.5625
41.0,11.3125,62.4375
0.0,43.9375,51.5625
35.0,35.0625,40.5625
0.0,65.1875,67.5625
11.0,-100.4375,61.8125
0.0,15.1875,63.9375
0.0,130.5625,63.6875
84.0,-103.3125,36.5625
0.0,122.4375,30.5625
0.0,92.9375,53.4375
0.0,-97.6875,24.3125
0.0,107.1875,49.3125
10.0,-78.8125,35.5625
0.0,84.0625,59.3125
0.0,-31.3125,39.3125
0.0,103.0625,31.4375
0.0,95.5625,26.0625
0.0,77.8125,63.1875
0.0,120.4375,-4.5625
0.0,65.5625,59.8125
0.0,-94.1875,42.8125
0.0,-115.5625,69.0625
0.0,165.8125,60.5625
0.0,-101.5625,52.5625
0.0,148.1875,-8.1875
0.0,130.1875,62.5625
0.0,-138.8125,60.1875
0.0,142.1875,-13.4375
0.0,16.0625,62.0625
0.0,114.0625,51.6875
17.0,-148.4375,63.3125
0.0,47.9375,57.4375
29.0,84.6875,49.5625
26.0,-17.0625,65.5625
26.0,6.8125,60.0625
0.0,-64.3125,56.6875
