soiltype_mostprobable,x,y
15.0,109.3125,48.1875
18.0,147.0625,-32.6875
23.0,-72.9375,53.1875
1.0,56.8125,62.6875
255.0,-77.0625,50.9375
18.0,23.6875,49.3125
7.0,61.6875,52.9375
23.0,-91.1875,46.3125
255.0,20.8125,78.4375
255.0,-43.4375,61.5625
1.0,38.1875,57.6875
6.0,54.1875,54.8125
6.0,97.5625,16.3125
8.0,-106.0625,70.9375
8.0,123.1875,54.6875
8.0,118.5625,54.4375
7.0,91.8125,51.5625
255.0,-148.9375,61.1875
18.0,-96.1875,36.4375
6.0,121.9375,70.9375
18.0,126.1875,39.6875
1.0,44.5625,64.0625
8.0,83.5625,70.8125
255.0,126.9375,34.0625
255.0,-102.8125,54.3125
8.0,109.5625,58.0625
18.0,-79.9375,35.0625
0.0,110.9375,19.6875
6.0,161.1875,62.5625
7.0,60.6875,53.8125
18.0,-123.3125,54.8125
23.0,111.9375,55.0625
14.0,80.0625,59.4375
14.0,-164.6875,62.5625
14.0,43.4375,66.3125
6.0,137.3125,49.3125
1.0,63.1875,58.6875
8.0,167.5625,68.9375
8.0,50.4375,64.0625
6.0,136.8125,36.6875
23.0,-55.5625,49.1875
6.0,-118.4375,50.1875
23.0,-24.1875,65.5625
29.0,-6.0625,34.8125
255.0,14.5625,59.0625
11.0,-90.6875,33.0625
4.0,138.1875,-30.4375
15.0,-120.9375,44.8125
8.0,-72.8125,64.0625
6.0,-128.4375,56.9375
18.0,125.5625,51.9375
6.0,15.0625,52.6875
0.0,28.9375,-25.9375
6.0,-147.9375,65.3125
6.0,148.5625,67.9375
8.0,-93.1875,63.8125
15.0,-100.9375,32.8125
20.0,34.6875,51.9375
6.0,-84.0625,46.1875
7.0,40.3125,44.9375
6.0,25.5625,69.9375
7.0,31.4375,49.8125
6.0,-156.6875,63.9375
255.0,103.3125,5.0625
6.0,112.6875,72.5625
6.0,-90.5625,65.3125
255.0,70.5625,66.4375
10.0,29.8125,-3.3125
7.0,95.6875,56.5625
23.0,88.3125,61.4375
255.0,48.8125,54.0625
6.0,-156.8125,61.0625
18.0,-96.9375,35.3125
15.0,-116.5625,43.3125
8.0,82.5625,72.5625
7.0,-106.0625,45.3125
255.0,160.0625,-11.4375
6.0,138.4375,51.0625
8.0,118.4375,63.5625
8.0,-70.3125,63.0625
6.0,18.5625,63.3125
5.0,52.3125,29.4375
18.0,-89.5625,38.5625
0.0,-87.5625,31.9375
6.0,-128.9375,61.1875
14.0,70.9375,58.1875
255.0,21.1875,37.6875
18.0,-90.4375,41.1875
20.0,85.8125,52.4375
19.0,110.5625,-1.3125
14.0,146.9375,60.3125
14.0,67.1875,64.5625
6.0,7.1875,47.1875
6.0,61.0625,62.8125
255.0,96.8125,79.3125
1.0,66.3125,57.4375
3.0,-77.4375,-7.5625
23.0,-127.4375,54.0625
23.0,-4.3125,57.4375
18.0,26.8125,42.1875
15.0,99.8125,47.1875
6.0,-144.5625,61.9375
6.0,158.1875,64.4375
12.0,23.9375,49.3125
255.0,65.5625,62.6875
6.0,-120.4375,60.8125
0.0,-83.6875,30.1875
6.0,-71.3125,43.6875
255.0,-153.5625,56.9375
7.0,30.0625,47.6875
14.0,69.6875,60.8125
6.0,137.0625,69.6875
1.0,-91.4375,46.0625
18.0,-101.1875,51.6875
18.0,-92.5625,31.8125
23.0,137.8125,56.4375
8.0,-64.6875,58.4375
18.0,121.4375,37.1875
18.0,-92.9375,32.6875
14.0,60.4375,68.3125
14.0,67.0625,64.5625
6.0,134.6875,54.0625
6.0,128.4375,42.6875
5.0,64.9375,34.6875
3.0,97.3125,3.9375
23.0,92.1875,60.6875
255.0,-79.6875,48.6875
16.0,100.9375,37.1875
18.0,26.9375,58.8125
7.0,-113.5625,52.4375
15.0,113.0625,48.3125
18.0,10.0625,55.1875
18.0,139.9375,-17.9375
6.0,116.8125,40.8125
23.0,-65.4375,49.1875
8.0,84.3125,70.9375
18.0,149.9375,-32.3125
14.0,87.1875,64.8125
6.0,116.1875,52.5625
255.0,14.6875,58.4375
6.0,104.0625,36.4375
18.0,1.0625,48.9375
14.0,158.1875,64.6875
6.0,-107.9375,66.1875
6.0,25.4375,67.5625
255.0,-117.9375,70.5625
18.0,-3.9375,42.1875
255.0,-105.6875,61.1875
18.0,20.3125,51.3125
1.0,54.9375,61.3125
6.0,112.4375,39.6875
6.0,-90.4375,50.9375
6.0,-117.9375,53.0625
8.0,15.8125,76.8125
15.0,99.8125,35.3125
23.0,-55.4375,48.3125
6.0,103.0625,49.9375
6.0,15.8125,40.4375
