ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,x,y
30.0,103.6875,22.0625
79.0,34.0625,60.6875
109.0,34.9375,67.9375
14.0,-117.8125,36.8125
78.0,-141.6875,64.5625
65.0,-95.9375,48.0625
84.0,-121.4375,71.9375
178.0,-68.0625,58.4375
20.0,-98.5625,36.4375
48.0,126.9375,51.4375
111.0,93.4375,59.6875
110.0,-111.8125,67.5625
-9999.0,-63.8125,49.9375
42.0,10.1875,48.1875
57.0,-114.9375,46.3125
39.0,48.5625,-20.0625
24.0,133.5625,55.9375
78.0,-79.9375,45.1875
67.0,103.5625,52.9375
109.0,-72.0625,-43.5625
114.0,31.0625,65.4375
70.0,32.4375,51.6875
145.0,130.6875,53.9375
183.0,78.6875,69.0625
36.0,23.5625,51.9375
27.0,-94.6875,35.4375
-9999.0,-73.1875,-42.3125
232.0,73.8125,62.3125
96.0,39.0625,67.5625
61.0,-78.3125,42.5625
131.0,-100.6875,63.8125
24.0,35.5625,37.0625
93.0,-132.4375,57.9375
118.0,-70.3125,62.5625
35.0,21.3125,50.6875
98.0,-72.5625,49.4375
104.0,111.5625,60.3125
195.0,-111.0625,57.9375
102.0,-104.9375,65.3125
111.0,-55.8125,52.4375
667.0,-88.0625,55.3125
167.0,-102.6875,58.6875
173.0,-102.3125,62.3125
62.0,31.9375,53.6875
189.0,103.3125,3.5625
39.0,13.5625,48.3125
103.0,138.9375,52.3125
118.0,142.1875,50.4375
101.0,-132.5625,55.1875
173.0,144.4375,65.3125
28.0,103.9375,13.6875
215.0,177.1875,65.6875
62.0,-124.4375,52.8125
324.0,-95.1875,56.8125
31.0,104.8125,49.0625
61.0,37.1875,51.0625
0.0,-101.8125,18.4375
146.0,84.3125,69.3125
27.0,-0.0625,50.8125
-9999.0,50.6875,38.0625
111.0,-78.9375,46.9375
-9999.0,120.9375,21.8125
24.0,18.0625,47.5625
125.0,134.5625,47.5625
55.0,133.9375,66.3125
232.0,40.1875,55.3125
192.0,-77.5625,60.3125
93.0,103.8125,51.8125
14.0,120.8125,-32.0625
70.0,93.3125,59.5625
42.0,94.3125,22.5625
131.0,-74.1875,52.1875
105.0,-122.6875,69.6875
26.0,16.0625,49.8125
79.0,56.8125,58.8125
82.0,-56.4375,49.5625
236.0,134.8125,48.3125
34.0,20.5625,49.6875
44.0,95.1875,49.0625
22.0,127.5625,40.0625
126.0,57.9375,67.5625
37.0,-120.8125,42.8125
51.0,102.4375,5.3125
170.0,158.6875,63.0625
81.0,58.4375,59.4375
191.0,-103.4375,60.3125
-9999.0,-65.6875,47.8125
29.0,-97.8125,19.8125
196.0,-102.6875,61.9375
119.0,-65.9375,51.5625
-9999.0,23.4375,59.3125
62.0,120.9375,-1.6875
19.0,-88.5625,35.8125
78.0,103.8125,52.6875
33.0,-119.5625,52.6875
83.0,92.1875,51.8125
49.0,19.9375,48.5625
143.0,-73.8125,64.5625
-9999.0,17.5625,61.5625
94.0,93.5625,54.6875
125.0,113.4375,-1.1875
67.0,-153.0625,62.4375
29.0,-105.1875,41.0625
90.0,-118.5625,52.1875
63.0,-72.3125,43.1875
158.0,17.5625,60.3125
167.0,142.0625,63.1875
11.0,-114.0625,40.1875
61.0,-132.9375,57.6875
74.0,104.9375,55.3125
18.0,26.9375,-30.6875
41.0,117.8125,40.3125
233.0,142.1875,53.1875
101.0,-90.0625,44.3125
132.0,-118.8125,58.4375
28.0,124.4375,-8.1875
128.0,52.8125,68.3125
311.0,76.6875,64.4375
312.0,104.3125,-2.6875
177.0,-160.5625,62.3125
76.0,60.1875,56.6875
192.0,-127.0625,50.8125
28.0,-94.8125,36.8125
86.0,103.4375,59.6875
-9999.0,-3.4375,59.0625
88.0,92.0625,63.0625
-9999.0,-1.1875,45.9375
94.0,-127.5625,57.0625
204.0,144.6875,75.1875
38.0,98.8125,15.6875
15.0,108.3125,34.1875
106.0,-72.9375,54.9375
98.0,141.9375,66.1875
84.0,90.8125,27.6875
106.0,47.3125,63.6875
-9999.0,131.1875,-7.3125
-9999.0,27.8125,36.6875
24.0,114.3125,30.1875
174.0,24.3125,62.8125
125.0,150.0625,63.1875
-9999.0,136.3125,-13.3125
18.0,-90.0625,34.1875
65.0,28.4375,50.6875
107.0,-57.6875,53.6875
92.0,12.9375,52.8125
166.0,-70.4375,67.3125
188.0,-126.8125,67.9375
81.0,-135.5625,63.8125
15.0,-78.3125,36.6875
68.0,106.8125,59.0625
67.0,112.9375,61.1875
99.0,30.6875,53.9375
103.0,31.8125,57.0625
47.0,147.1875,-19.4375
318.0,72.3125,63.5625
77.0,93.3125,70.6875
40.0,-98.6875,49.5625
134.0,49.5625,63.6875
47.0,-107.9375,44.8125
73.0,-78.6875,33.9375
126.0,176.0625,66.4375
37.0,122.8125,47.9375
26.0,-80.6875,34.3125
282.0,-131.6875,68.6875
198.0,-120.0625,64.4375
80.0,26.3125,57.0625
73.0,70.4375,38.4375
178.0,-74.1875,52.3125
15.0,104.9375,16.8125
193.0,112.0625,61.5625
32.0,-95.5625,39.9375
22.0,-112.5625,45.4375
12.0,132.8125,-30.3125
198.0,-96.3125,60.0625
132.0,28.4375,69.5625
81.0,42.1875,57.1875
-9999.0,19.8125,63.3125
-9999.0,144.5625,-3.8125
203.0,162.5625,66.9375
79.0,-134.9375,59.8125
102.0,-65.1875,44.3125
106.0,90.0625,66.6875
246.0,-105.0625,60.1875
158.0,15.3125,58.9375
129.0,39.8125,63.8125
71.0,-73.6875,41.8125
200.0,-89.3125,52.3125
68.0,-127.1875,58.4375
133.0,156.6875,52.4375
177.0,-59.6875,53.4375
218.0,-147.5625,61.4375
50.0,101.9375,47.3125
12.0,-118.8125,41.1875
31.0,12.1875,45.6875
35.0,142.5625,-35.1875
18.0,-104.1875,39.0625
50.0,98.1875,56.5625
130.0,23.1875,62.5625
53.0,34.3125,50.0625
202.0,-132.3125,65.6875
-9999.0,-22.4375,72.0625
16.0,144.9375,-16.5625
93.0,-71.8125,49.3125
128.0,-79.9375,47.0625
