ISRICSOILGRIDS_new_average_claypercent_reduced,x,y
21.0,87.29167365,51.87500415
11.0,-156.87501255,62.70833835
22.0,82.70833995,65.62500525
32.0,101.45834145,22.29166845
14.0,61.04167155,67.70833875
28.0,5.62500044999999,46.04167035
-9999.0,67.29167205,68.95833885
26.0,11.04166755,49.79167065
23.0,98.54167455,27.29166885
-9999.0,-47.29167045,60.62500485
14.0,46.45833705,58.12500465
12.0,-157.29167925,67.29167205
-9999.0,-23.95833525,60.20833815
9.0,14.79166785,64.37500515
11.0,18.54166815,64.79167185
17.0,97.29167445,68.12500545
19.0,34.79166945,54.79167105
19.0,-123.54167655,58.54167135
13.0,149.37501195,60.62500485
-9999.0,19.79166825,39.79166985
22.0,-4.37500035000002,54.79167105
28.0,137.70834435,34.79166945
11.0,7.70833395,53.12500425
27.0,-85.62500685,53.95833765
27.0,-101.87500815,51.45833745
24.0,114.79167585,31.45833585
9.0,-140.20834455,63.12500505
-9999.0,41.45833665,67.29167205
21.0,10.20833415,45.20833695
22.0,-77.29167285,40.62500325
17.0,-156.04167915,71.04167235
-9999.0,-4.37500035000002,35.62500285
18.0,74.79167265,63.95833845
22.0,-82.70833995,37.70833635
36.0,105.62500845,11.45833425
20.0,171.45834705,63.95833845
32.0,99.79167465,23.12500185
22.0,61.45833825,60.20833815
14.0,49.37500395,59.37500475
13.0,-63.54167175,57.29167125
17.0,101.04167475,39.79166985
-9999.0,136.04167755,36.87500295
31.0,110.20834215,18.95833485
18.0,-68.54167215,-55.20833775
10.0,-71.45833905,46.87500375
18.0,121.87500975,43.95833685
28.0,72.29167245,56.87500455
14.0,-137.29167765,59.79167145
15.0,-72.29167245,66.45833865
16.0,86.87500695,28.12500225
-9999.0,115.62500925,-8.95833405
11.0,22.70833515,55.20833775
-9999.0,30.20833575,45.20833695
15.0,90.20834055,68.95833885
-9999.0,16.87500135,65.20833855
21.0,-121.87500975,36.45833625
13.0,111.04167555,55.20833775
19.0,-108.54167535,38.95833645
-9999.0,142.29167805,39.37500315
19.0,-85.20834015,43.54167015
8.0,13.54166775,64.37500515
21.0,118.95834285,35.20833615
21.0,-85.20834015,41.45833665
-9999.0,123.54167655,-5.62500045
23.0,19.79166825,43.12500345
17.0,134.79167745,53.54167095
15.0,130.20834375,70.20833895
11.0,10.62500085,59.79167145
-9999.0,1.87500014999998,39.79166985
11.0,113.54167575,56.45833785
29.0,45.62500365,55.20833775
8.0,-70.62500565,44.37500355
