LandCover_1_Needleleaf,x,y
0.0,139.79167785,74.79167265
7.0,84.37500675,69.37500555
22.0,98.95834125,31.45833585
0.0,19.37500155,-33.95833605
9.0,-83.95834005,47.70833715
0.0,103.95834165,20.62500165
0.0,-48.54167055,63.54167175
0.0,-96.04167435,33.54166935
47.0,126.04167675,56.87500455
29.0,139.79167785,59.79167145
0.0,28.54166895,36.45833625
0.0,124.37500995,50.20833735
0.0,159.37501275,58.95833805
0.0,104.37500835,35.20833615
0.0,129.37501035,-6.45833385
0.0,97.70834115,69.37500555
0.0,120.62500965,-3.95833365
0.0,22.29166845,48.12500385
5.0,103.95834165,34.79166945
0.0,30.62500245,-27.29166885
0.0,118.95834285,36.45833625
0.0,9.37500075,44.79167025
19.0,134.37501075,49.79167065
17.0,145.62501165,61.04167155
20.0,128.54167695,36.04166955
0.0,87.29167365,73.54167255
25.0,-63.54167175,45.20833695
71.0,-87.29167365,53.54167095
6.0,6.04166714999999,61.87500495
0.0,101.87500815,-3.12500025
0.0,-7.29166725000002,43.54167015
0.0,103.54167495,19.37500155
6.0,170.62501365,61.45833825
0.0,0.625000049999983,52.29167085
0.0,138.95834445,38.54166975
8.0,-84.79167345,54.79167105
29.0,-114.37500915,43.95833685
0.0,144.79167825,76.04167275
0.0,68.54167215,66.45833865
0.0,22.29166845,63.95833845
0.0,131.04167715,-31.87500255
0.0,139.37501115,-33.95833605
0.0,53.95833765,73.95833925
0.0,-87.29167365,50.62500405
0.0,113.54167575,-3.54166695000001
0.0,133.54167735,42.70833675
0.0,148.95834525,-37.70833635
0.0,46.45833705,-22.70833515
43.0,-83.54167335,33.54166935
0.0,80.62500645,29.79166905
28.0,-114.79167585,58.54167135
0.0,-35.62500285,66.45833865
0.0,118.54167615,39.37500315
0.0,1.04166674999999,52.29167085
0.0,106.04167515,30.20833575
85.0,99.79167465,60.62500485
18.0,136.04167755,45.20833695
0.0,-106.04167515,66.87500535
2.0,35.62500285,56.45833785
0.0,14.37500115,49.37500395
85.0,54.79167105,63.54167175
4.0,90.62500725,69.37500555
20.0,-93.95834085,48.54167055
0.0,-1.45833345,46.45833705
20.0,125.20834335,40.62500325
0.0,118.54167615,37.70833635
8.0,118.95834285,51.45833745
0.0,31.87500255,53.12500425
0.0,-89.79167385,28.95833565
0.0,-163.95834645,66.04167195
0.0,143.12501145,42.70833675
3.0,-77.70833955,41.04166995
25.0,-146.04167835,64.79167185
0.0,-115.20834255,41.45833665
0.0,139.37501115,-37.29166965
0.0,103.12500825,15.20833455
0.0,3.12500025,46.04167035
0.0,113.54167575,49.79167065
0.0,160.62501285,55.20833775
0.0,149.79167865,-25.20833535
0.0,51.04167075,37.70833635
0.0,-113.12500905,50.20833735
100.0,36.87500295,64.79167185
0.0,-79.79167305,37.29166965
