ISRICSOILGRIDS_new_average_nitrogen_reduced,x,y
179.0,70.20833895,35.20833615
416.0,-128.95834365,54.37500435
247.0,103.54167495,34.37500275
350.0,93.54167415,70.62500565
349.0,41.04166995,52.70833755
122.0,114.37500915,28.54166895
213.0,124.79167665,6.04166714999999
531.0,45.62500365,66.87500535
117.0,-82.29167325,36.04166955
-9999.0,-73.95833925,66.87500535
269.0,131.04167715,66.45833865
135.0,-111.87500895,38.95833645
-9999.0,132.70834395,35.62500285
350.0,-110.62500885,66.87500535
302.0,-133.54167735,60.20833815
269.0,26.04166875,68.54167215
117.0,-97.29167445,32.29166925
179.0,-136.45834425,61.04167155
340.0,89.79167385,65.62500525
146.0,106.45834185,22.70833515
288.0,169.79168025,62.70833835
228.0,-116.87500935,50.20833735
233.0,61.87500495,58.54167135
266.0,90.20834055,54.37500435
385.0,176.45834745,65.20833855
544.0,-72.29167245,66.45833865
313.0,-60.62500485,45.62500365
452.0,-130.62501045,56.87500455
375.0,-78.54167295,43.12500345
218.0,41.04166995,51.04167075
101.0,28.54166895,-28.12500225
413.0,77.70833955,65.20833855
159.0,114.79167585,41.87500335
237.0,-113.54167575,65.20833855
-9999.0,15.62500125,43.12500345
-9999.0,148.54167855,-10.62500085
310.0,-131.87501055,68.54167215
-9999.0,-100.20834135,58.95833805
-9999.0,-70.20833895,-54.37500435
-9999.0,22.70833515,59.37500475
226.0,115.20834255,61.87500495
375.0,14.79166785,57.29167125
-9999.0,-82.29167325,41.87500335
-9999.0,-121.45834305,35.62500285
183.0,105.62500845,50.62500405
547.0,-117.29167605,58.12500465
-9999.0,-81.87500655,47.29167045
365.0,58.95833805,61.45833825
248.0,118.12500945,51.04167075
375.0,156.87501255,53.95833765
375.0,31.87500255,55.20833775
-9999.0,-129.37501035,70.20833895
382.0,137.70834435,57.29167125
761.0,-72.70833915,-44.37500355
243.0,104.79167505,58.95833805
509.0,135.62501085,49.37500395
257.0,50.20833735,61.45833825
66.0,-85.62500685,33.12500265
61.0,-111.04167555,32.29166925
359.0,88.95834045,22.29166845
241.0,51.04167075,53.54167095
419.0,48.54167055,66.87500535
-9999.0,-124.37500995,41.04166995
132.0,110.62500885,24.37500195
416.0,77.70833955,69.37500555
299.0,11.45833425,61.45833825
265.0,84.79167345,51.04167075
268.0,-67.29167205,48.54167055
386.0,18.54166815,65.20833855
208.0,54.79167105,58.12500465
161.0,21.87500175,46.87500375
430.0,14.37500115,45.62500365
334.0,-150.62501205,62.29167165
-9999.0,23.12500185,37.29166965
99.0,29.79166905,-25.20833535
364.0,48.54167055,64.37500515
81.0,-109.79167545,31.87500255
199.0,115.62500925,54.79167105
296.0,82.29167325,68.54167215
210.0,139.37501115,-7.70833395
114.0,51.04167075,30.62500245
134.0,-62.29167165,45.62500365
142.0,93.95834085,22.29166845
267.0,7.70833395,52.70833755
202.0,-1.45833345,47.29167045
723.0,31.45833585,56.04167115
-9999.0,139.79167785,76.04167275
234.0,83.54167335,42.70833675
335.0,78.95833965,68.54167215
282.0,11.45833425,46.87500375
259.0,121.04167635,52.29167085
-9999.0,-66.04167195,44.79167025
198.0,31.04166915,53.95833765
-9999.0,-87.29167365,42.70833675
102.0,105.20834175,12.29166765
109.0,120.62500965,31.04166915
160.0,80.20833975,29.37500235
780.0,-3.54166695000001,53.12500425
114.0,32.29166925,36.45833625
171.0,2.29166684999998,49.79167065
282.0,-8.12500065,43.54167015
-9999.0,-92.70834075,58.54167135
105.0,106.04167515,12.70833435
-9999.0,71.04167235,69.37500555
-9999.0,51.87500415,68.95833885
228.0,8.54166734999998,55.62500445
340.0,20.20833495,67.70833875
646.0,-6.87500055000001,53.95833765
-9999.0,-5.20833375000001,53.54167095
-9999.0,93.54167415,30.20833575
163.0,133.95834405,33.54166935
468.0,-72.70833915,-40.20833655
-9999.0,141.45834465,52.29167085
-9999.0,-60.62500485,45.20833695
-9999.0,136.04167755,-34.79166945
194.0,126.87501015,42.29167005
512.0,31.45833585,58.12500465
-9999.0,166.87501335,-15.62500125
77.0,140.62501125,-34.37500275
304.0,93.95834085,51.87500415
536.0,-91.04167395,53.95833765
-9999.0,-116.45834265,68.95833885
228.0,43.95833685,61.87500495
589.0,8.95833404999999,62.29167165
211.0,130.20834375,47.70833715
150.0,-112.29167565,44.79167025
221.0,-106.04167515,60.20833815
289.0,87.29167365,50.20833735
360.0,29.37500235,63.95833845
271.0,-126.04167675,55.20833775
-9999.0,14.37500115,45.20833695
105.0,-2.70833355000002,40.20833655
397.0,65.20833855,59.37500475
-9999.0,16.87500135,59.37500475
180.0,143.12501145,-38.54166975
426.0,83.54167335,71.04167235
281.0,-114.37500915,43.54167015
-9999.0,138.12501105,37.29166965
162.0,13.54166775,49.37500395
185.0,58.54167135,55.62500445
188.0,8.95833404999999,56.45833785
-9999.0,143.12501145,74.79167265
292.0,88.54167375,62.29167165
140.0,-95.62500765,40.62500325
410.0,86.87500695,70.62500565
280.0,21.45833505,62.29167165
142.0,126.45834345,38.12500305
188.0,-104.79167505,22.70833515
163.0,16.87500135,51.04167075
689.0,-156.45834585,58.12500465
68.0,104.79167505,38.95833645
-9999.0,9.37500075,38.95833645
290.0,-124.37500995,72.29167245
148.0,21.04166835,45.62500365
-9999.0,-116.04167595,62.70833835
376.0,143.12501145,50.62500405
172.0,-115.62500925,53.95833765
209.0,122.70834315,53.95833765
-9999.0,129.37501035,33.12500265
353.0,-136.87501095,66.87500535
176.0,-67.70833875,46.45833705
226.0,113.54167575,57.29167125
441.0,-101.04167475,62.29167165
151.0,-71.04167235,-39.79166985
-9999.0,138.12501105,37.70833635
-9999.0,-71.04167235,-55.20833775
178.0,118.54167615,44.37500355
224.0,50.62500405,56.45833785
414.0,-129.37501035,67.70833875
135.0,21.45833505,-33.95833605
73.0,-91.87500735,34.79166945
1130.0,-13.95833445,65.20833855
364.0,38.54166975,63.12500505
240.0,126.04167675,48.54167055
417.0,80.62500645,67.29167205
102.0,-5.20833375000001,34.37500275
-9999.0,-79.79167305,58.12500465
-9999.0,35.62500285,-21.87500175
228.0,95.20834095,29.79166905
-9999.0,63.12500505,69.79167225
301.0,77.29167285,60.20833815
395.0,64.37500515,57.29167125
-9999.0,-165.20834655,61.04167155
261.0,59.37500475,61.04167155
312.0,95.20834095,63.95833845
342.0,-73.12500585,-39.37500315
185.0,-76.45833945,36.04166955
408.0,38.95833645,53.95833765
377.0,150.62501205,66.04167195
140.0,-6.45833385,33.95833605
213.0,-120.20834295,68.54167215
389.0,36.04166955,54.37500435
195.0,103.95834165,23.95833525
-9999.0,-33.95833605,66.45833865
156.0,101.45834145,47.70833715
162.0,20.62500165,40.20833655
375.0,-51.87500415,64.37500515
604.0,-160.62501285,62.70833835
110.0,-99.37500795,24.79166865
49.0,135.20834415,-14.79166785
77.0,-102.29167485,26.87500215
266.0,164.37501315,63.12500505
301.0,-3.54166695000001,50.62500405
337.0,38.54166975,50.62500405
-9999.0,-87.70834035,42.70833675
160.0,105.62500845,27.70833555
-9999.0,-89.79167385,54.37500435
751.0,-159.79167945,70.20833895
