LandCover_3_Deciduousbroadleaf,x,y
0.0,-78.95833965,52.70833755
0.0,65.20833855,65.62500525
54.0,-8.54166735000001,43.12500345
0.0,161.87501295,58.12500465
0.0,147.70834515,-43.12500345
11.0,35.62500285,54.79167105
11.0,-101.87500815,51.87500415
0.0,-14.79166785,65.62500525
0.0,-87.70834035,48.12500385
3.0,18.54166815,51.04167075
0.0,-130.20834375,69.79167225
0.0,9.37500075,56.45833785
0.0,-149.79167865,66.87500535
0.0,1.04166674999999,38.54166975
32.0,64.79167185,58.95833805
6.0,-7.70833395000002,40.62500325
0.0,128.54167695,45.62500365
0.0,-67.29167205,58.12500465
0.0,122.70834315,48.95833725
0.0,111.87500895,38.95833645
0.0,164.37501315,61.45833825
86.0,143.12501145,44.37500355
0.0,-124.37500995,56.87500455
0.0,130.62501045,-11.45833425
0.0,-15.62500125,65.62500525
0.0,23.95833525,35.62500285
0.0,-88.95834045,65.20833855
0.0,-87.29167365,37.70833635
0.0,-138.12501105,65.20833855
0.0,113.95834245,53.12500425
4.0,11.04166755,51.87500415
0.0,103.54167495,50.20833735
0.0,148.95834525,-37.70833635
15.0,27.70833555,61.04167155
0.0,-90.62500725,36.45833625
0.0,-60.62500485,46.45833705
0.0,54.37500435,63.95833845
0.0,96.45834105,48.95833725
0.0,99.79167465,58.95833805
0.0,93.12500745,65.20833855
0.0,10.20833415,49.79167065
0.0,97.70834115,30.62500245
0.0,-80.62500645,47.29167045
15.0,-92.70834075,36.87500295
0.0,12.70833435,40.62500325
0.0,156.04167915,61.87500495
0.0,-3.95833365000001,41.04166995
11.0,-116.04167595,55.62500445
0.0,111.87500895,21.45833505
0.0,116.87500935,8.12500065
9.0,148.12501185,60.62500485
0.0,137.70834435,38.12500305
0.0,165.62501325,61.45833825
0.0,109.37500875,37.29166965
22.0,95.20834095,28.95833565
0.0,-164.79167985,64.79167185
0.0,-106.45834185,28.12500225
0.0,-6.87500055000001,43.95833685
37.0,-68.95833885,-53.95833765
15.0,-83.12500665,39.37500315
2.0,85.62500685,55.62500445
0.0,-151.45834545,67.29167205
0.0,10.20833415,44.79167025
26.0,53.95833765,58.54167135
0.0,18.54166815,50.62500405
0.0,105.20834175,28.54166895
0.0,51.87500415,67.70833875
0.0,-145.62501165,64.37500515
0.0,-22.70833515,70.20833895
0.0,51.87500415,63.54167175
0.0,93.54167415,58.12500465
0.0,-82.70833995,52.70833755
0.0,-0.625000050000011,41.45833665
0.0,-78.12500625,49.79167065
0.0,103.95834165,71.87500575
0.0,151.87501215,-31.87500255
0.0,144.79167825,-37.70833635
0.0,-100.20834135,64.79167185
0.0,-1.04166675000002,53.12500425
0.0,119.37500955,-8.54166735
0.0,110.20834215,56.04167115
0.0,54.79167105,72.29167245
