ISRICSOILGRIDS_new_average_phx10percent_reduced,x,y
-9999.0,-113.54167575,70.62500565
73.0,-109.37500875,33.12500265
57.0,-125.62501005,57.29167125
46.0,113.54167575,2.70833354999999
53.0,150.20834535,66.87500535
64.0,52.70833755,54.37500435
50.0,113.12500905,56.04167115
81.0,82.29167325,43.54167015
53.0,178.12501425,63.95833845
66.0,101.04167475,26.45833545
53.0,2.29166684999998,45.62500365
51.0,-86.45834025,49.37500395
53.0,-159.37501275,62.70833835
53.0,121.87500975,55.62500445
56.0,126.87501015,35.20833615
47.0,121.04167635,1.04166675
53.0,93.54167415,21.87500175
-9999.0,134.37501075,-33.95833605
50.0,63.95833845,62.70833835
55.0,92.70834075,54.79167105
49.0,-63.12500505,54.79167105
54.0,97.70834115,68.54167215
78.0,120.20834295,33.12500265
-9999.0,-2.29166685000001,46.45833705
46.0,78.95833965,63.12500505
60.0,-143.95834485,69.37500555
-9999.0,15.20833455,39.79166985
55.0,107.29167525,63.12500505
50.0,-60.20833815,52.70833755
-9999.0,14.79166785,76.87500615
56.0,-2.29166685000001,53.54167095
50.0,31.45833585,63.12500505
55.0,112.29167565,-6.87500055
59.0,-146.87501175,68.95833885
-9999.0,35.62500285,64.79167185
65.0,-121.87500975,68.54167215
69.0,-96.45834105,44.79167025
54.0,51.87500415,56.87500455
59.0,-101.04167475,63.95833845
-9999.0,154.79167905,50.62500405
59.0,-140.62501125,60.62500485
55.0,-133.12501065,66.87500535
52.0,78.54167295,58.54167135
-9999.0,128.54167695,27.29166885
-9999.0,-52.29167085,64.37500515
51.0,60.62500485,62.29167165
62.0,112.29167565,53.12500425
71.0,145.62501165,-31.87500255
-9999.0,140.62501125,73.54167255
69.0,-104.79167505,36.87500295
51.0,44.37500355,64.79167185
49.0,49.79167065,63.54167175
74.0,119.37500955,-29.79166905
51.0,61.45833825,68.54167215
56.0,146.04167835,64.37500515
-9999.0,-110.20834215,24.79166865
53.0,12.29166765,62.29167165
51.0,56.04167115,59.37500475
52.0,-85.20834015,30.20833575
49.0,11.04166755,62.70833835
74.0,44.79167025,36.04166955
51.0,58.54167135,58.12500465
56.0,-1.04166675000002,54.37500435
75.0,-113.95834245,37.70833635
54.0,47.70833715,55.62500445
48.0,116.87500935,5.62500045
62.0,88.54167375,48.12500385
52.0,-128.12501025,55.62500445
50.0,-150.20834535,62.29167165
57.0,131.04167715,66.45833865
59.0,113.54167575,26.87500215
64.0,-93.54167415,42.29167005
49.0,-118.95834285,64.79167185
51.0,117.70834275,26.87500215
79.0,137.29167765,-30.62500245
48.0,18.12500145,63.95833845
48.0,16.04166795,60.62500485
61.0,-91.04167395,38.95833645
52.0,-78.12500625,36.87500295
51.0,21.87500175,55.62500445
49.0,116.87500935,3.95833365
66.0,28.95833565,49.37500395
64.0,86.45834025,49.37500395
67.0,-114.37500915,51.04167075
78.0,31.04166915,39.37500315
81.0,-108.12500865,31.45833585
52.0,96.04167435,63.95833845
59.0,-144.37501155,65.62500525
50.0,41.87500335,64.79167185
53.0,87.29167365,50.62500405
54.0,149.79167865,66.04167195
58.0,97.29167445,58.54167135
52.0,-129.79167705,61.04167155
54.0,17.70833475,58.95833805
64.0,28.54166895,-27.29166885
-9999.0,136.45834425,-11.04166755
-9999.0,98.12500785,10.62500085
70.0,31.45833585,47.29167045
58.0,-116.45834265,53.54167095
-9999.0,12.29166765,38.54166975
