soiltype_mostprobable,x,y
23.0,-61.45833825,56.04167115
29.0,149.37501195,-31.87500255
6.0,72.29167245,35.20833615
6.0,108.95834205,19.37500155
6.0,109.79167545,1.04166675
24.0,-107.70834195,28.95833565
18.0,27.70833555,42.29167005
24.0,-110.62500885,30.62500245
6.0,-99.37500795,30.20833575
4.0,132.70834395,-31.04166915
20.0,-100.62500805,21.45833505
20.0,43.95833685,52.29167085
0.0,111.45834225,26.45833545
0.0,108.54167535,22.29166845
255.0,141.45834465,-14.79166785
255.0,8.12500064999998,41.45833665
255.0,101.87500815,2.29166685
6.0,14.37500115,57.29167125
6.0,118.54167615,-29.79166905
18.0,-105.20834175,33.12500265
18.0,3.95833364999999,36.87500295
0.0,102.29167485,4.79166705
255.0,128.54167695,-1.04166675
10.0,102.29167485,4.37500034999999
15.0,-97.29167445,37.29166965
18.0,149.79167865,-34.79166945
255.0,104.79167505,8.54166735
0.0,92.70834075,21.04166835
26.0,119.79167625,-32.70833595
6.0,-3.12500025,40.62500325
255.0,122.70834315,24.37500195
15.0,-103.54167495,36.45833625
255.0,121.45834305,22.70833515
3.0,143.12501145,-6.04166715000001
255.0,-108.95834205,23.12500185
255.0,98.95834125,-1.04166675
255.0,136.45834425,-34.37500275
255.0,11.04166755,42.29167005
255.0,100.62500805,7.29166725
255.0,108.12500865,-6.04166715000001
255.0,101.87500815,12.29166765
1.0,44.79167025,56.04167115
255.0,101.87500815,15.62500125
18.0,117.70834275,-32.70833595
6.0,95.62500765,26.45833545
18.0,119.79167625,-33.95833605
6.0,121.87500975,-30.62500245
6.0,96.87500775,3.95833365
255.0,22.29166845,36.45833625
255.0,121.04167635,-4.79166705
1.0,21.45833505,52.29167085
0.0,152.29167885,-32.29166925
5.0,-102.29167485,26.87500215
255.0,19.37500155,42.29167005
0.0,151.87501215,-24.37500195
16.0,-102.29167485,26.45833545
18.0,-80.20833975,33.54166935
26.0,142.70834475,-37.29166965
18.0,76.04167275,32.70833595
255.0,168.12501345,-16.87500135
10.0,101.87500815,4.79166705
255.0,97.70834115,12.29166765
18.0,151.04167875,-31.87500255
255.0,2.70833354999999,39.37500315
255.0,113.12500905,3.95833365
6.0,8.12500064999998,50.20833735
26.0,119.37500955,-33.54166935
1.0,46.45833705,56.87500455
1.0,43.95833685,56.04167115
11.0,106.45834185,9.79166744999999
10.0,148.95834525,-20.20833495
255.0,25.20833535,40.20833655
20.0,-102.70834155,21.04166835
4.0,118.95834285,-31.45833585
16.0,-101.45834145,21.45833505
5.0,143.12501145,-33.95833605
6.0,21.45833505,53.95833765
6.0,-85.20834015,13.95833445
255.0,111.45834225,-3.54166695000001
26.0,117.70834275,-33.54166935
18.0,-110.20834215,31.04166915
29.0,-100.62500805,29.37500235
255.0,101.45834145,7.29166725
1.0,29.37500235,53.54167095
24.0,46.04167035,34.37500275
255.0,128.54167695,-0.625000049999997
18.0,146.45834505,-36.04166955
