ISRICSOILGRIDS_new_average_sandpercent_reduced,x,y
24.0,-106.45834185,28.12500225
52.0,-80.20833975,47.29167045
63.0,150.20834535,-22.70833515
-9999.0,102.29167485,11.45833425
-9999.0,127.70834355,-32.29166925
-9999.0,11.04166755,56.45833785
-9999.0,137.70834435,-33.12500265
27.0,-108.54167535,28.95833565
74.0,141.45834465,-30.62500245
27.0,-106.04167515,26.04166875
71.0,118.12500945,-31.04166915
72.0,130.20834375,-27.70833555
32.0,-102.29167485,21.45833505
80.0,-82.29167325,26.87500215
21.0,-110.20834215,30.20833575
34.0,1.45833345,44.37500355
36.0,105.62500845,21.04166835
54.0,143.12501145,-36.45833625
27.0,-108.95834205,31.04166915
40.0,116.04167595,24.79166865
75.0,130.62501045,-29.37500235
71.0,21.87500175,50.62500405
49.0,41.87500335,56.45833785
32.0,111.04167555,27.70833555
56.0,143.54167815,-36.04166955
-9999.0,120.62500965,25.20833535
-9999.0,129.37501035,-31.87500255
-9999.0,121.04167635,25.20833535
29.0,-101.04167475,23.12500185
-9999.0,-118.54167615,33.12500265
25.0,-105.62500845,26.87500215
27.0,25.20833535,49.79167065
-9999.0,110.20834215,18.54166815
65.0,142.70834475,-35.62500285
-9999.0,156.45834585,-8.54166735
40.0,21.87500175,38.95833645
-9999.0,141.45834465,-13.54166775
60.0,150.62501205,-26.04166875
44.0,8.54166734999998,49.37500395
78.0,-81.45833985,28.12500225
45.0,109.37500875,21.45833505
-9999.0,109.37500875,-8.12500065
38.0,-109.79167545,33.54166935
-9999.0,151.87501215,-33.12500265
-9999.0,119.79167625,23.12500185
67.0,18.95833485,51.87500415
48.0,92.29167405,28.54166895
-9999.0,126.04167675,11.04166755
30.0,28.12500225,37.29166965
46.0,108.95834205,40.62500325
35.0,104.37500835,21.04166835
41.0,101.04167475,17.29166805
56.0,120.62500965,-32.29166925
36.0,119.79167625,27.29166885
33.0,-102.70834155,21.04166835
36.0,93.95834085,20.62500165
32.0,35.20833615,33.12500265
29.0,46.45833705,54.37500435
32.0,43.95833685,54.79167105
-9999.0,141.45834465,41.87500335
25.0,121.45834305,29.37500235
36.0,8.12500064999998,47.29167045
69.0,142.70834475,-35.20833615
-9999.0,104.79167505,-5.62500045
60.0,138.54167775,-32.29166925
34.0,-100.20834135,21.45833505
67.0,132.29167725,-31.45833585
67.0,146.45834505,-32.29166925
24.0,-1.87500015000001,51.87500415
-9999.0,21.45833505,36.87500295
32.0,105.20834175,11.04166755
24.0,8.95833404999999,48.12500385
16.0,-96.87500775,38.95833645
69.0,116.45834265,-30.62500245
29.0,-108.12500865,50.62500405
56.0,151.04167875,-23.54166855
67.0,117.70834275,-30.20833575
42.0,113.54167575,0.208333350000004
68.0,148.54167855,-31.87500255
67.0,142.29167805,-33.54166935
32.0,-101.87500815,27.29166885
55.0,150.20834535,-30.62500245
71.0,120.20834295,-33.54166935
40.0,98.54167455,18.12500145
-9999.0,121.87500975,-0.208333350000004
33.0,93.95834085,19.79166825
-9999.0,8.54166734999998,37.70833635
43.0,104.37500835,14.37500115
67.0,151.04167875,-28.95833565
39.0,-97.70834115,20.20833495
66.0,26.87500215,51.45833745
42.0,110.20834215,18.95833485
39.0,-100.62500805,33.95833605
-9999.0,104.79167505,-1.87500015000001
