LandCover_5_Shrubs,x,y
0.0,112.29167565,2.70833354999999
14.0,89.37500715,27.70833555
0.0,112.70834235,1.04166675
0.0,147.29167845,-33.54166935
0.0,83.12500665,28.54166895
9.0,113.95834245,2.29166685
0.0,127.70834355,39.37500315
0.0,-79.37500635,32.29166925
0.0,108.12500865,0.625000049999997
71.0,144.79167825,-32.29166925
0.0,145.20834495,-8.12500065
34.0,152.70834555,-27.70833555
40.0,136.45834425,-12.29166765
0.0,110.62500885,-1.45833345
0.0,105.20834175,-5.20833375000001
5.0,-102.70834155,20.62500165
0.0,-85.20834015,29.79166905
84.0,144.37501155,-32.29166925
0.0,127.29167685,-2.70833355000001
0.0,146.45834505,-38.12500305
0.0,142.70834475,-10.62500085
9.0,110.20834215,19.37500155
0.0,115.62500925,-3.12500025
24.0,97.29167445,31.04166915
0.0,134.37501075,-33.95833605
0.0,-104.79167505,21.04166835
3.0,113.95834245,1.45833345
0.0,-89.79167385,38.12500305
0.0,98.95834125,3.12500025
0.0,151.04167875,-29.37500235
0.0,176.87501415,-39.37500315
26.0,106.87500855,13.95833445
0.0,74.37500595,15.20833455
89.0,-100.62500805,24.37500195
35.0,135.62501085,-14.37500115
0.0,120.20834295,22.70833515
2.0,143.54167815,-5.62500045
0.0,-98.95834125,30.20833575
41.0,123.12500985,-31.04166915
0.0,25.62500205,39.79166985
16.0,-104.37500835,22.70833515
30.0,-103.95834165,21.45833505
0.0,116.04167595,6.45833385
18.0,-72.29167245,-48.54167055
0.0,120.62500965,-6.45833385
0.0,147.29167845,-37.29166965
44.0,-105.62500845,43.12500345
0.0,-5.62500045000002,35.20833615
0.0,10.20833415,51.87500415
9.0,101.45834145,18.95833485
0.0,95.20834095,16.04166795
0.0,125.20834335,1.45833345
0.0,115.62500925,1.87500014999999
0.0,124.37500995,-8.95833405
0.0,122.29167645,31.04166915
0.0,123.12500985,-16.45833465
0.0,33.54166935,50.20833735
0.0,116.45834265,-0.625000049999997
0.0,113.95834245,-0.208333350000004
0.0,110.20834215,-0.625000049999997
0.0,-96.45834105,33.12500265
22.0,106.45834185,15.20833455
0.0,139.79167785,-35.20833615
0.0,-103.54167495,36.45833625
2.0,149.37501195,-21.87500175
0.0,145.20834495,-35.62500285
0.0,-68.12500545,-55.20833775
0.0,101.04167475,5.20833374999999
0.0,-85.20834015,30.62500245
3.0,103.95834165,11.45833425
0.0,118.54167615,-8.12500065
0.0,-104.37500835,21.45833505
0.0,108.95834205,20.20833495
31.0,101.45834145,21.04166835
0.0,100.20834135,-1.04166675
0.0,17.29166805,58.95833805
0.0,111.87500895,1.87500014999999
37.0,-112.70834235,41.87500335
0.0,101.04167475,7.29166725
0.0,148.95834525,-38.12500305
0.0,-96.87500775,16.87500135
27.0,79.79167305,29.37500235
19.0,-102.70834155,21.87500175
0.0,127.29167685,-7.29166725
28.0,103.95834165,22.29166845
25.0,-98.54167455,19.79166825
0.0,103.54167495,1.87500014999999
84.0,-158.54167935,62.29167165
0.0,80.62500645,9.79166744999999
0.0,86.87500695,21.04166835
0.0,116.45834265,7.29166725
0.0,103.12500825,-3.95833365
0.0,114.79167585,1.04166675
0.0,152.70834555,-28.54166895
0.0,136.87501095,-15.20833455
0.0,-99.37500795,26.45833545
40.0,141.04167795,-17.70833475
0.0,121.45834305,-2.70833355000001
36.0,138.12501105,-32.29166925
0.0,104.37500835,31.45833585
0.0,91.87500735,27.70833555
0.0,116.04167595,5.20833374999999
0.0,99.79167465,23.95833525
0.0,105.62500845,-5.62500045
0.0,103.12500825,2.29166685
14.0,-104.37500835,21.87500175
5.0,117.70834275,25.20833535
0.0,143.12501145,-7.70833395
0.0,148.54167855,-19.79166825
0.0,112.70834235,2.70833354999999
0.0,92.29167405,30.20833575
8.0,98.54167455,2.70833354999999
0.0,-3.54166695000001,36.45833625
0.0,118.95834285,23.54166855
0.0,113.95834245,32.70833595
0.0,-105.20834175,21.04166835
0.0,138.95834445,-36.04166955
40.0,144.37501155,-16.04166795
0.0,116.04167595,5.62500045
