LandCover_1_Needleleaf,x,y
0.0,103.54167495,17.70833475
0.0,100.62500805,0.208333350000004
0.0,119.79167625,-3.12500025
0.0,96.87500775,22.29166845
16.0,-98.54167455,20.20833495
0.0,115.62500925,5.62500045
0.0,120.62500965,-30.20833575
0.0,114.37500915,0.208333350000004
36.0,-100.20834135,22.70833515
0.0,141.87501135,-10.20833415
0.0,160.62501285,-10.20833415
2.0,101.87500815,19.37500155
0.0,-90.20834055,15.20833455
0.0,122.29167645,-3.95833365
0.0,148.95834525,-9.79166745000001
73.0,14.37500115,56.87500455
0.0,143.54167815,-36.04166955
0.0,98.12500785,14.37500115
0.0,122.29167645,15.20833455
0.0,103.95834165,12.29166765
0.0,144.37501155,-35.62500285
0.0,150.20834535,-29.37500235
0.0,-91.87500735,38.54166975
0.0,-158.95834605,63.12500505
0.0,104.37500835,11.87500095
0.0,128.12501025,32.29166925
0.0,120.62500965,-10.20833415
0.0,147.29167845,-37.29166965
0.0,26.45833545,40.20833655
0.0,149.37501195,-31.87500255
0.0,118.54167615,-29.79166905
0.0,-106.87500855,42.70833675
0.0,111.87500895,-1.45833345
5.0,-104.79167505,21.04166835
0.0,140.62501125,-32.70833595
0.0,124.37500995,5.62500045
0.0,101.04167475,18.54166815
0.0,-73.12500585,-45.62500365
0.0,-0.625000050000011,39.37500315
0.0,124.37500995,-30.20833575
0.0,13.54166775,43.95833685
40.0,14.37500115,57.29167125
0.0,134.37501075,-32.70833595
0.0,112.70834235,-3.54166695000001
0.0,-73.12500585,-40.62500325
0.0,108.12500865,14.79166785
0.0,92.29167405,25.20833535
0.0,148.95834525,-20.62500165
0.0,122.29167645,31.04166915
0.0,-96.87500775,30.20833575
36.0,-98.54167455,18.54166815
0.0,80.62500645,13.12500105
0.0,131.87501055,-11.45833425
0.0,102.29167485,20.20833495
0.0,106.04167515,-6.87500055
0.0,8.54166734999998,45.20833695
0.0,99.37500795,9.37500075
21.0,-111.87500895,34.79166945
0.0,129.37501035,-6.45833385
0.0,-118.95834285,45.62500365
0.0,130.62501045,-11.87500095
0.0,119.37500955,-2.70833355000001
53.0,-104.79167505,23.54166855
0.0,135.62501085,-33.12500265
0.0,118.12500945,-35.62500285
0.0,101.87500815,-3.12500025
0.0,145.62501165,-37.29166965
0.0,113.54167575,-3.54166695000001
0.0,105.20834175,12.29166765
0.0,125.20834335,37.29166965
0.0,152.70834555,-31.45833585
0.0,-71.45833905,-41.87500335
0.0,142.29167805,-35.20833615
0.0,3.12500025,47.29167045
0.0,168.54168015,-15.62500125
