ISRICSOILGRIDS_new_average_siltpercent_reduced,x,y
40.0,2.29166684999998,41.87500335
39.0,-16.04166795,66.45833865
-9999.0,-162.70834635,59.79167145
37.0,20.20833495,45.20833695
37.0,155.20834575,61.87500495
50.0,-139.79167785,67.29167205
-9999.0,133.12501065,32.70833595
37.0,-131.45834385,61.04167155
-9999.0,128.54167695,32.29166925
40.0,52.29167085,62.70833835
-9999.0,-66.04167195,44.79167025
-9999.0,31.04166915,66.87500535
47.0,-86.04167355,33.54166935
33.0,-121.45834305,47.29167045
-9999.0,-4.79166705,54.37500435
43.0,79.37500635,68.95833885
37.0,25.20833535,41.45833665
17.0,21.04166835,53.12500425
47.0,125.62501005,43.95833685
38.0,30.62500245,67.70833875
45.0,-2.70833355000002,47.70833715
43.0,-94.79167425,42.29167005
44.0,50.20833735,56.04167115
37.0,22.70833515,38.54166975
43.0,-121.87500975,51.04167075
35.0,172.70834715,66.04167195
18.0,-86.87500695,31.04166915
31.0,-84.79167345,53.95833765
-9999.0,-65.62500525,-54.37500435
-9999.0,21.45833505,63.95833845
47.0,-118.54167615,50.20833735
49.0,-93.54167415,34.79166945
-9999.0,16.45833465,41.45833665
33.0,-77.29167285,38.12500305
41.0,128.95834365,42.70833675
27.0,-66.45833865,52.29167085
46.0,50.62500405,58.95833805
30.0,99.37500795,20.20833495
20.0,-81.45833985,33.12500265
45.0,-118.95834285,44.79167025
45.0,23.12500185,46.04167035
36.0,123.12500985,52.70833755
37.0,33.95833605,63.12500505
42.0,44.37500355,67.70833875
26.0,-111.87500895,36.45833625
51.0,-163.95834645,67.70833875
39.0,-153.95834565,61.87500495
15.0,151.45834545,-27.29166885
50.0,-86.45834025,40.62500325
32.0,16.87500135,61.45833825
31.0,-94.79167425,57.70833795
39.0,141.04167795,41.45833665
46.0,26.45833545,48.12500385
45.0,130.20834375,45.20833695
30.0,-58.95833805,51.45833745
47.0,-91.87500735,42.29167005
39.0,131.45834385,33.12500265
43.0,96.04167435,55.20833775
36.0,18.54166815,50.20833735
-9999.0,133.95834405,-33.12500265
-9999.0,163.95834645,59.37500475
44.0,107.29167525,36.87500295
45.0,-0.625000050000011,46.87500375
18.0,23.54166855,51.87500415
37.0,143.54167815,46.45833705
38.0,16.87500135,39.37500315
58.0,-89.79167385,40.20833655
29.0,-93.95834085,50.20833735
29.0,92.29167405,28.12500225
29.0,-106.87500855,41.04166995
44.0,93.54167415,53.54167095
40.0,-69.79167225,47.29167045
38.0,37.70833635,56.04167115
-9999.0,-136.87501095,58.12500465
38.0,136.45834425,49.37500395
-9999.0,141.87501135,38.54166975
-9999.0,-4.79166705,50.62500405
37.0,161.04167955,61.45833825
9.0,142.29167805,-34.37500275
32.0,-57.29167125,53.95833765
36.0,-119.37500955,56.87500455
-9999.0,-56.45833785,53.95833765
49.0,-141.04167795,65.20833855
30.0,-69.37500555,50.20833735
-9999.0,107.29167525,-3.12500025
35.0,101.87500815,30.62500245
52.0,9.79166744999998,48.54167055
48.0,8.12500064999998,44.79167025
37.0,38.12500305,61.45833825
40.0,173.95834725,66.87500535
-9999.0,132.29167725,42.70833675
41.0,-156.87501255,58.12500465
-9999.0,-4.79166705,51.45833745
-9999.0,13.12500105,55.20833775
-9999.0,-128.54167695,50.62500405
38.0,140.20834455,51.45833745
