ISRICSOILGRIDS_new_average_nitrogen_reduced,x,y
179.0,-136.45834425,61.04167155
-9999.0,-1.87500015000001,50.20833735
340.0,89.79167385,65.62500525
214.0,123.95834325,52.29167085
242.0,-64.79167185,48.54167055
117.0,-79.79167305,40.20833655
262.0,-70.62500565,46.04167035
146.0,106.45834185,22.70833515
274.0,-58.95833805,53.12500425
228.0,-116.87500935,50.20833735
-9999.0,-77.29167285,61.45833825
233.0,61.87500495,58.54167135
152.0,22.70833515,48.12500385
-9999.0,16.45833465,58.12500465
-9999.0,8.12500064999998,37.29166965
149.0,99.79167465,21.45833505
125.0,-80.62500645,39.79166985
103.0,-7.29166725000002,38.12500305
50.0,-86.04167355,32.29166925
385.0,176.45834745,65.20833855
156.0,16.87500135,48.95833725
-9999.0,-138.95834445,69.79167225
142.0,108.54167535,35.20833615
544.0,-72.29167245,66.45833865
313.0,-60.62500485,45.62500365
78.0,-107.70834195,30.20833575
318.0,98.12500785,53.95833765
452.0,-130.62501045,56.87500455
375.0,-78.54167295,43.12500345
218.0,41.04166995,51.04167075
153.0,150.62501205,-30.20833575
-9999.0,23.12500185,53.12500425
159.0,114.79167585,41.87500335
297.0,127.70834355,40.62500325
-9999.0,156.04167915,56.87500455
79.0,-96.45834105,30.20833575
-9999.0,15.62500125,43.12500345
142.0,-95.20834095,39.79166985
-9999.0,-70.20833895,-54.37500435
218.0,15.20833455,62.29167165
-9999.0,22.70833515,59.37500475
271.0,160.20834615,60.62500485
375.0,14.79166785,57.29167125
-9999.0,-82.29167325,41.87500335
470.0,13.95833445,46.87500375
65.0,-92.29167405,33.95833605
-9999.0,-52.70833755,48.95833725
-9999.0,-68.95833885,43.95833685
264.0,97.29167445,52.29167085
-9999.0,-81.87500655,47.29167045
-9999.0,33.54166935,42.29167005
227.0,131.45834385,45.62500365
375.0,156.87501255,53.95833765
375.0,31.87500255,55.20833775
168.0,97.29167445,23.12500185
382.0,137.70834435,57.29167125
372.0,6.45833385,46.87500375
502.0,-76.45833945,53.95833765
509.0,135.62501085,49.37500395
146.0,111.45834225,22.29166845
257.0,50.20833735,61.45833825
348.0,-71.87500575,-45.62500365
66.0,-85.62500685,33.12500265
375.0,166.04167995,63.54167175
252.0,-131.04167715,60.20833815
419.0,48.54167055,66.87500535
-9999.0,-124.37500995,41.04166995
132.0,110.62500885,24.37500195
-9999.0,71.45833905,66.87500535
299.0,11.45833425,61.45833825
-9999.0,-0.625000050000011,36.04166955
223.0,23.95833525,51.45833745
125.0,-118.54167615,48.54167055
265.0,84.79167345,51.04167075
268.0,-67.29167205,48.54167055
386.0,18.54166815,65.20833855
411.0,-74.37500595,48.12500385
-9999.0,-75.20833935,51.87500415
161.0,21.87500175,46.87500375
430.0,14.37500115,45.62500365
334.0,-150.62501205,62.29167165
226.0,106.04167515,53.12500425
126.0,-109.37500875,30.20833575
81.0,-109.79167545,31.87500255
-9999.0,97.29167445,5.20833374999999
521.0,33.95833605,56.04167115
134.0,-62.29167165,45.62500365
445.0,-155.62501245,58.95833805
364.0,-127.70834355,57.70833795
387.0,28.12500225,64.37500515
267.0,7.70833395,52.70833755
345.0,168.12501345,61.04167155
202.0,-1.45833345,47.29167045
723.0,31.45833585,56.04167115
-9999.0,37.29166965,65.20833855
399.0,14.79166785,63.95833845
327.0,11.04166755,47.29167045
176.0,10.62500085,53.12500425
78.0,118.95834285,40.20833655
172.0,-106.87500855,41.04166995
758.0,-161.45834625,65.62500525
247.0,-1.04166675000002,51.04167075
398.0,-71.87500575,41.87500335
238.0,107.70834195,53.95833765
