ISRICSOILGRIDS_new_average_bulkdensity_reduced,x,y
824.0,-158.12501265,68.54167215
865.0,-157.70834595,68.54167215
892.0,-157.29167925,68.54167215
775.0,-156.87501255,68.54167215
796.0,-156.45834585,68.54167215
654.0,-156.04167915,68.54167215
672.0,-155.62501245,68.54167215
762.0,-155.20834575,68.54167215
801.0,-154.79167905,68.54167215
849.0,-154.37501235,68.54167215
918.0,-153.95834565,68.54167215
809.0,-153.54167895,68.54167215
803.0,-153.12501225,68.54167215
789.0,-152.70834555,68.54167215
798.0,-151.87501215,68.54167215
849.0,-151.45834545,68.54167215
826.0,-151.04167875,68.54167215
898.0,-150.62501205,68.54167215
873.0,-149.79167865,68.54167215
993.0,-149.37501195,68.54167215
991.0,-148.95834525,68.54167215
979.0,-148.54167855,68.54167215
1071.0,-147.70834515,68.54167215
978.0,-147.29167845,68.54167215
1000.0,-146.87501175,68.54167215
1041.0,-145.62501165,68.54167215
1000.0,-145.20834495,68.54167215
963.0,-144.79167825,68.54167215
941.0,-143.95834485,68.54167215
1032.0,-143.54167815,68.54167215
1027.0,-143.12501145,68.54167215
1038.0,-141.87501135,68.54167215
955.0,-141.45834465,68.54167215
966.0,-141.04167795,68.54167215
946.0,-140.20834455,68.54167215
982.0,-139.79167785,68.54167215
912.0,-139.37501115,68.54167215
980.0,-138.95834445,68.54167215
968.0,-138.54167775,68.54167215
993.0,-138.12501105,68.54167215
930.0,-137.70834435,68.54167215
993.0,-137.29167765,68.54167215
995.0,-136.87501095,68.54167215
977.0,-136.45834425,68.54167215
-9999.0,-103.54167495,68.54167215
-9999.0,-30.20833575,68.54167215
967.0,-29.37500235,68.54167215
-9999.0,-28.95833565,68.54167215
1033.0,-28.12500225,68.54167215
-9999.0,-26.87500215,68.54167215
-9999.0,-26.45833545,68.54167215
-9999.0,13.12500105,68.54167215
-9999.0,13.54166775,68.54167215
-9999.0,13.95833445,68.54167215
-9999.0,14.37500115,68.54167215
862.0,14.79166785,68.54167215
912.0,15.20833455,68.54167215
848.0,15.62500125,68.54167215
863.0,16.04166795,68.54167215
-9999.0,16.45833465,68.54167215
931.0,16.87500135,68.54167215
917.0,17.29166805,68.54167215
880.0,17.70833475,68.54167215
933.0,18.12500145,68.54167215
993.0,18.54166815,68.54167215
1037.0,18.95833485,68.54167215
1014.0,19.37500155,68.54167215
976.0,19.79166825,68.54167215
942.0,20.62500165,68.54167215
973.0,21.45833505,68.54167215
940.0,21.87500175,68.54167215
880.0,22.70833515,68.54167215
961.0,23.12500185,68.54167215
954.0,23.54166855,68.54167215
1004.0,23.95833525,68.54167215
980.0,24.37500195,68.54167215
980.0,24.79166865,68.54167215
979.0,25.20833535,68.54167215
1012.0,25.62500205,68.54167215
1010.0,26.45833545,68.54167215
1028.0,26.87500215,68.54167215
1012.0,27.70833555,68.54167215
996.0,28.12500225,68.54167215
1001.0,28.54166895,68.54167215
1052.0,28.95833565,68.54167215
997.0,29.37500235,68.54167215
1020.0,29.79166905,68.54167215
1001.0,30.20833575,68.54167215
1056.0,30.62500245,68.54167215
1027.0,31.04166915,68.54167215
1018.0,31.45833585,68.54167215
1047.0,31.87500255,68.54167215
1009.0,32.29166925,68.54167215
981.0,32.70833595,68.54167215
1082.0,33.12500265,68.54167215
1011.0,33.54166935,68.54167215
1015.0,33.95833605,68.54167215
1006.0,34.37500275,68.54167215
1027.0,35.20833615,68.54167215
1020.0,35.62500285,68.54167215
1032.0,36.04166955,68.54167215
1050.0,36.45833625,68.54167215
1072.0,37.70833635,68.54167215
-9999.0,38.12500305,68.54167215
-9999.0,38.95833645,68.54167215
-9999.0,39.37500315,68.54167215
-9999.0,43.12500345,68.54167215
956.0,43.95833685,68.54167215
-9999.0,44.37500355,68.54167215
-9999.0,45.20833695,68.54167215
-9999.0,45.62500365,68.54167215
-9999.0,48.95833725,68.54167215
-9999.0,49.37500395,68.54167215
-9999.0,50.62500405,68.54167215
1019.0,52.70833755,68.54167215
990.0,53.12500425,68.54167215
-9999.0,53.95833765,68.54167215
-9999.0,54.37500435,68.54167215
917.0,55.62500445,68.54167215
971.0,63.95833845,68.54167215
1000.0,64.37500515,68.54167215
999.0,64.79167185,68.54167215
998.0,65.20833855,68.54167215
1034.0,65.62500525,68.54167215
1033.0,66.04167195,68.54167215
978.0,66.45833865,68.54167215
1010.0,67.29167205,68.54167215
-9999.0,67.70833875,68.54167215
1047.0,70.20833895,68.54167215
1009.0,71.04167235,68.54167215
1029.0,71.45833905,68.54167215
1046.0,71.87500575,68.54167215
-9999.0,73.95833925,68.54167215
-9999.0,74.37500595,68.54167215
1046.0,74.79167265,68.54167215
1102.0,75.20833935,68.54167215
1059.0,76.04167275,68.54167215
1097.0,76.45833945,68.54167215
1052.0,76.87500615,68.54167215
-9999.0,77.29167285,68.54167215
