ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,x,y
88.0,28.54166895,69.79167225
93.0,28.95833565,69.79167225
108.0,29.37500235,69.79167225
111.0,29.79166905,69.79167225
101.0,30.20833575,69.79167225
114.0,30.62500245,69.79167225
-9999.0,31.04166915,69.79167225
-9999.0,31.45833585,69.79167225
113.0,31.87500255,69.79167225
134.0,32.29166925,69.79167225
-9999.0,32.70833595,69.79167225
-9999.0,33.12500265,69.79167225
-9999.0,33.54166935,69.79167225
-9999.0,33.95833605,69.79167225
-9999.0,34.37500275,69.79167225
-9999.0,48.95833725,69.79167225
-9999.0,49.37500395,69.79167225
-9999.0,64.37500515,69.79167225
-9999.0,64.79167185,69.79167225
211.0,75.20833935,69.79167225
206.0,76.04167275,69.79167225
191.0,76.45833945,69.79167225
174.0,76.87500615,69.79167225
218.0,77.29167285,69.79167225
198.0,77.70833955,69.79167225
131.0,171.45834705,69.79167225
152.0,172.29168045,69.79167225
-9999.0,-165.20834655,69.37500555
-9999.0,-164.79167985,69.37500555
-9999.0,-164.37501315,69.37500555
-9999.0,-163.95834645,69.37500555
-9999.0,-163.54167975,69.37500555
-9999.0,-163.12501305,69.37500555
149.0,-162.29167965,69.37500555
163.0,-161.87501295,69.37500555
179.0,-161.45834625,69.37500555
172.0,-160.62501285,69.37500555
179.0,-160.20834615,69.37500555
195.0,-159.79167945,69.37500555
149.0,-159.37501275,69.37500555
173.0,-158.95834605,69.37500555
164.0,-158.54167935,69.37500555
190.0,-157.70834595,69.37500555
190.0,-157.29167925,69.37500555
179.0,-156.87501255,69.37500555
166.0,-156.45834585,69.37500555
171.0,-156.04167915,69.37500555
185.0,-155.20834575,69.37500555
208.0,-154.37501235,69.37500555
199.0,-153.95834565,69.37500555
213.0,-153.12501225,69.37500555
213.0,-152.70834555,69.37500555
184.0,-151.87501215,69.37500555
199.0,-151.45834545,69.37500555
158.0,-151.04167875,69.37500555
171.0,-150.62501205,69.37500555
218.0,-149.79167865,69.37500555
223.0,-149.37501195,69.37500555
217.0,-148.95834525,69.37500555
210.0,-147.70834515,69.37500555
214.0,-147.29167845,69.37500555
213.0,-146.87501175,69.37500555
52.0,-145.62501165,69.37500555
130.0,-145.20834495,69.37500555
170.0,-144.79167825,69.37500555
113.0,-143.95834485,69.37500555
118.0,-143.12501145,69.37500555
154.0,-141.87501135,69.37500555
155.0,-141.04167795,69.37500555
133.0,-140.20834455,69.37500555
149.0,-139.79167785,69.37500555
137.0,-139.37501115,69.37500555
-9999.0,-138.54167775,69.37500555
-9999.0,-138.12501105,69.37500555
-9999.0,-137.70834435,69.37500555
-9999.0,-137.29167765,69.37500555
200.0,-130.20834375,69.37500555
154.0,-24.37500195,69.37500555
-9999.0,-23.95833525,69.37500555
-9999.0,14.37500115,69.37500555
-9999.0,14.79166785,69.37500555
-9999.0,15.20833455,69.37500555
-9999.0,15.62500125,69.37500555
-9999.0,16.04166795,69.37500555
-9999.0,16.45833465,69.37500555
170.0,16.87500135,69.37500555
108.0,17.29166805,69.37500555
109.0,17.70833475,69.37500555
169.0,18.12500145,69.37500555
-9999.0,18.54166815,69.37500555
95.0,18.95833485,69.37500555
93.0,19.37500155,69.37500555
