ISRICSOILGRIDS_new_average_siltpercent_reduced,x,y
51.0,1.45833345,49.37500395
55.0,1.87500014999998,49.37500395
48.0,4.79166705,49.37500395
57.0,6.04166714999999,49.37500395
37.0,8.54166734999998,49.37500395
45.0,8.95833404999999,49.37500395
53.0,10.20833415,49.37500395
43.0,21.04166835,49.37500395
52.0,24.37500195,49.37500395
26.0,-80.62500645,48.95833725
35.0,-64.37500515,48.95833725
-9999.0,-3.12500025,48.95833725
51.0,-0.625000050000011,48.95833725
64.0,0.625000049999983,48.95833725
46.0,1.04166674999999,48.95833725
55.0,5.20833374999998,48.95833725
53.0,6.45833385,48.95833725
46.0,8.12500064999998,48.95833725
48.0,8.54166734999998,48.95833725
55.0,9.37500075,48.95833725
42.0,9.79166744999998,48.95833725
44.0,10.20833415,48.95833725
42.0,12.70833435,48.95833725
44.0,20.62500165,48.95833725
59.0,0.208333349999975,48.54167055
52.0,0.625000049999983,48.54167055
40.0,8.12500064999998,48.54167055
52.0,8.95833404999999,48.54167055
43.0,20.20833495,48.54167055
55.0,-0.625000050000011,48.12500385
53.0,4.37500034999999,48.12500385
55.0,4.79166705,48.12500385
45.0,6.04166714999999,48.12500385
47.0,8.54166734999998,48.12500385
50.0,8.95833404999999,48.12500385
43.0,11.45833425,48.12500385
-9999.0,-69.79167225,47.70833715
40.0,-68.54167215,47.70833715
52.0,3.95833364999999,47.70833715
46.0,4.79166705,47.70833715
44.0,7.29166724999999,47.70833715
41.0,14.79166785,47.70833715
17.0,17.70833475,47.70833715
28.0,18.12500145,47.70833715
35.0,18.95833485,47.70833715
31.0,-83.54167335,47.29167045
37.0,-83.12500665,47.29167045
33.0,-80.20833975,47.29167045
40.0,0.208333349999975,47.29167045
51.0,3.54166694999998,47.29167045
39.0,3.95833364999999,47.29167045
47.0,4.37500034999999,47.29167045
51.0,4.79166705,47.29167045
44.0,6.04166714999999,47.29167045
42.0,7.29166724999999,47.29167045
43.0,8.12500064999998,47.29167045
42.0,9.37500075,47.29167045
-9999.0,-86.04167355,46.87500375
-9999.0,-85.20834015,46.87500375
-9999.0,6.87500054999998,46.87500375
41.0,25.20833535,46.87500375
42.0,26.04166875,46.87500375
28.0,-94.37500755,46.45833705
28.0,-86.04167355,46.45833705
38.0,-81.04167315,46.45833705
39.0,-78.12500625,46.45833705
41.0,-77.29167285,46.45833705
40.0,-76.87500615,46.45833705
39.0,-68.54167215,46.45833705
39.0,-68.12500545,46.45833705
44.0,2.29166684999998,46.45833705
33.0,2.70833354999999,46.45833705
37.0,3.95833364999999,46.45833705
44.0,4.79166705,46.45833705
44.0,-90.62500725,46.04167035
33.0,-89.37500715,46.04167035
46.0,-88.54167375,46.04167035
31.0,-86.04167355,46.04167035
